Year,DateTime,DayNum,HourNum,Weather,Precipitation,Temperature,ApparentTemperature,PrecipitationType,MinutesInTent,NumChecks
2015,01/08/2015 00:00,0,0,Clear,0,16.26,10.01,none,60,0
2015,01/08/2015 01:00,0,1,Clear,0,15.2,9.61,none,60,0
2015,01/08/2015 02:00,0,2,Clear,0,14.26,14.26,none,60,0
2015,01/08/2015 03:00,0,3,Clear,0,13.47,13.47,none,60,0
2015,01/08/2015 04:00,0,4,Clear,0,12.71,12.71,none,60,0
2015,01/08/2015 05:00,0,5,Clear,0,11.93,11.93,none,60,0
2015,01/08/2015 06:00,0,6,Clear,0,11.18,11.18,none,60,0
2015,01/08/2015 07:00,0,7,Clear,0,10.38,10.38,none,60,0
2015,01/08/2015 08:00,0,8,Clear,0,10.32,10.32,none,60,0
2015,01/08/2015 09:00,0,9,Clear,0,12.8,12.8,none,60,0
2015,01/08/2015 10:00,0,10,Clear,0,15.75,15.75,none,60,0
2015,01/08/2015 11:00,0,11,Clear,0,18.5,18.5,none,60,0
2015,01/08/2015 12:00,0,12,Clear,0,21.21,21.21,none,60,0
2015,01/08/2015 13:00,0,13,Clear,0,23.3,23.3,none,60,0
2015,01/08/2015 14:00,0,14,Clear,0,24.67,24.67,none,60,0
2015,01/08/2015 15:00,0,15,Clear,0,26.04,26.04,none,60,0
2015,01/08/2015 16:00,0,16,Clear,0,26.74,26.74,none,60,0
2015,01/08/2015 17:00,0,17,Clear,0,25.44,25.44,none,60,0
2015,01/08/2015 18:00,0,18,Clear,0,23.03,23.03,none,60,0
2015,01/08/2015 19:00,0,19,Clear,0,21,21,none,60,0
2015,01/08/2015 20:00,0,20,Clear,0,19.93,19.93,none,60,0
2015,01/08/2015 21:00,0,21,Clear,0,20.42,20.42,none,60,0
2015,01/08/2015 22:00,0,22,Clear,0,21.17,21.17,none,60,0
2015,01/08/2015 23:00,0,23,Clear,0,21.38,21.38,none,60,0
2015,01/09/2015 00:00,1,0,Clear,0,21.66,21.66,none,60,0
2015,01/09/2015 01:00,1,1,Clear,0,22.01,22.01,none,60,0
2015,01/09/2015 02:00,1,2,Clear,0,22.26,22.26,none,60,0
2015,01/09/2015 03:00,1,3,Mostly Cloudy,0,22.28,22.28,none,60,0
2015,01/09/2015 04:00,1,4,Mostly Cloudy,0,22.97,22.97,none,60,0
2015,01/09/2015 05:00,1,5,Overcast,0,24.56,24.56,none,60,0
2015,01/09/2015 06:00,1,6,Overcast,0,26.15,26.15,none,60,0
2015,01/09/2015 07:00,1,7,Overcast,0,27.74,27.74,none,60,0
2015,01/09/2015 08:00,1,8,Mostly Cloudy,0,29.26,29.26,none,60,0
2015,01/09/2015 09:00,1,9,Partly Cloudy,0,31.43,31.43,none,60,0
2015,01/09/2015 10:00,1,10,Clear,0,34.18,31.77,none,60,0
2015,01/09/2015 11:00,1,11,Clear,0,37.14,37.14,none,60,0
2015,01/09/2015 12:00,1,12,Clear,0,39.93,39.93,none,60,0
2015,01/09/2015 13:00,1,13,Clear,0,41.86,41.86,none,60,0
2015,01/09/2015 14:00,1,14,Clear,0,43.17,43.17,none,60,0
2015,01/09/2015 15:00,1,15,Clear,0,44.23,44.23,none,60,0
2015,01/09/2015 16:00,1,16,Clear,0,43.99,43.99,none,60,0
2015,01/09/2015 17:00,1,17,Clear,0,41.9,41.9,none,60,0
2015,01/09/2015 18:00,1,18,Clear,0,36.76,36.76,none,60,0
2015,01/09/2015 19:00,1,19,Clear,0,33.04,33.04,none,60,0
2015,01/09/2015 20:00,1,20,Clear,0,30.28,30.28,none,60,0
2015,01/09/2015 21:00,1,21,Clear,0,29.41,29.41,none,60,0
2015,01/09/2015 22:00,1,22,Clear,0,29.51,29.51,none,60,0
2015,01/09/2015 23:00,1,23,Clear,0,29.46,29.46,none,60,0
2015,01/10/2015 00:00,2,0,Clear,0,28.79,28.79,none,60,0
2015,01/10/2015 01:00,2,1,Clear,0,28.38,28.38,none,60,0
2015,01/10/2015 02:00,2,2,Clear,0,27.84,27.84,none,60,0
2015,01/10/2015 03:00,2,3,Clear,0,27.17,27.17,none,60,0
2015,01/10/2015 04:00,2,4,Clear,0,26.41,26.41,none,60,0
2015,01/10/2015 05:00,2,5,Clear,0,26.15,26.15,none,60,0
2015,01/10/2015 06:00,2,6,Clear,0,25.53,25.53,none,60,0
2015,01/10/2015 07:00,2,7,Clear,0,24.49,24.49,none,60,0
2015,01/10/2015 08:00,2,8,Clear,0,23.53,23.53,none,60,0
2015,01/10/2015 09:00,2,9,Clear,0,25.74,25.74,none,60,0
2015,01/10/2015 10:00,2,10,Clear,0,28.15,28.15,none,60,0
2015,01/10/2015 11:00,2,11,Clear,0,31.11,31.11,none,60,0
2015,01/10/2015 12:00,2,12,Clear,0,33.81,33.81,none,60,0
2015,01/10/2015 13:00,2,13,Clear,0,35.46,35.46,none,60,0
2015,01/10/2015 14:00,2,14,Clear,0,37.17,37.17,none,60,0
2015,01/10/2015 15:00,2,15,Clear,0,38.41,38.41,none,60,0
2015,01/10/2015 16:00,2,16,Clear,0,38.6,38.6,none,60,0
2015,01/10/2015 17:00,2,17,Clear,0,36.14,36.14,none,60,0
2015,01/10/2015 18:00,2,18,Clear,0,30.93,30.93,none,60,0
2015,01/10/2015 19:00,2,19,Clear,0,27.59,27.59,none,60,0
2015,01/10/2015 20:00,2,20,Clear,0,25.63,25.63,none,60,0
2015,01/10/2015 21:00,2,21,Clear,0,24.14,24.14,none,60,0
2015,01/10/2015 22:00,2,22,Clear,0,22.68,22.68,none,60,0
2015,01/10/2015 23:00,2,23,Clear,0,21.48,21.48,none,60,0
2015,01/11/2015 00:00,3,0,Clear,0,20.4,20.4,none,60,0
2015,01/11/2015 01:00,3,1,Clear,0,19.31,19.31,none,60,0
2015,01/11/2015 02:00,3,2,Clear,0,18.43,18.43,none,60,0
2015,01/11/2015 03:00,3,3,Clear,0,17.74,17.74,none,60,0
2015,01/11/2015 04:00,3,4,Clear,0,16.98,16.98,none,60,0
2015,01/11/2015 05:00,3,5,Clear,0,16.44,16.44,none,60,0
2015,01/11/2015 06:00,3,6,Clear,0,16.13,16.13,none,60,0
2015,01/11/2015 07:00,3,7,Clear,0,16.32,16.32,none,60,0
2015,01/11/2015 08:00,3,8,Clear,0,16.66,16.66,none,60,0
2015,01/11/2015 09:00,3,9,Clear,0,23.78,23.78,none,60,0
2015,01/11/2015 10:00,3,10,Clear,0,32.1,32.1,none,60,0
2015,01/11/2015 11:00,3,11,Clear,0,38.67,38.67,none,60,0
2015,01/11/2015 12:00,3,12,Clear,0,42.39,42.39,none,60,0
2015,01/11/2015 13:00,3,13,Clear,0,45.12,45.12,none,60,0
2015,01/11/2015 14:00,3,14,Clear,0,46.5,46.5,none,60,0
2015,01/11/2015 15:00,3,15,Clear,0,47.68,47.68,none,60,0
2015,01/11/2015 16:00,3,16,Partly Cloudy,0,47.7,47.7,none,60,0
2015,01/11/2015 17:00,3,17,Mostly Cloudy,0,46.5,46.5,none,60,0
2015,01/11/2015 18:00,3,18,Overcast,0,43.69,43.69,none,60,0
2015,01/11/2015 19:00,3,19,Overcast,0,43.1,43.1,none,60,0
2015,01/11/2015 20:00,3,20,Overcast,0,42.54,42.54,none,60,0
2015,01/11/2015 21:00,3,21,Overcast,0,42.12,42.12,none,60,0
2015,01/11/2015 22:00,3,22,Overcast,0,42.24,42.24,none,60,0
2015,01/11/2015 23:00,3,23,Overcast,0,42.16,42.16,none,60,0
2015,01/12/2015 00:00,4,0,Overcast,0,41.99,41.99,none,60,0
2015,01/12/2015 01:00,4,1,Overcast,0,40.95,40.95,none,60,0
2015,01/12/2015 02:00,4,2,Overcast,0.0095,38.68,38.68,rain,60,0
2015,01/12/2015 03:00,4,3,Light Rain,0.022,37.3,37.3,rain,60,0
2015,01/12/2015 04:00,4,4,Rain,0.0693,36.43,36.43,rain,60,0
2015,01/12/2015 05:00,4,5,Rain,0.1021,36.53,36.53,rain,60,0
2015,01/12/2015 06:00,4,6,Rain,0.136,37.08,37.08,rain,60,0
2015,01/12/2015 07:00,4,7,Heavy Rain,0.2373,37.92,37.92,rain,60,0
2015,01/12/2015 08:00,4,8,Heavy Rain,0.2552,39.05,39.05,rain,60,0
2015,01/12/2015 09:00,4,9,Rain,0.0956,40.23,40.23,rain,60,0
2015,01/12/2015 10:00,4,10,Overcast,0.0082,41.19,41.19,rain,60,0
2015,01/12/2015 11:00,4,11,Foggy,0,40.93,40.93,none,60,0
2015,01/12/2015 12:00,4,12,Foggy,0.0024,40.98,40.98,rain,60,0
2015,01/12/2015 13:00,4,13,Light Rain,0.0202,40.91,40.91,rain,60,0
2015,01/12/2015 14:00,4,14,Rain,0.072,41.24,41.24,rain,60,0
2015,01/12/2015 15:00,4,15,Light Rain,0.0506,41.92,41.92,rain,60,1
2015,01/12/2015 16:00,4,16,Light Rain,0.0282,42.54,42.54,rain,30,0
2015,01/12/2015 17:00,4,17,Overcast,0.0024,42.87,42.87,rain,60,0
2015,01/12/2015 18:00,4,18,Overcast,0.0076,42.96,42.96,rain,60,0
2015,01/12/2015 19:00,4,19,Overcast,0.0041,43.1,43.1,rain,60,1
2015,01/12/2015 20:00,4,20,Overcast,0.0015,43.37,43.37,rain,60,0
2015,01/12/2015 21:00,4,21,Overcast,0.0002,43.5,43.5,rain,60,0
2015,01/12/2015 22:00,4,22,Overcast,0,43.67,43.67,none,60,0
2015,01/12/2015 23:00,4,23,Overcast,0,43.81,43.81,none,60,0
2015,01/13/2015 00:00,5,0,Overcast,0,43.82,43.82,none,60,0
2015,01/13/2015 01:00,5,1,Overcast,0.0003,43.81,43.81,rain,60,1
2015,01/13/2015 02:00,5,2,Overcast,0.0023,44.18,44.18,rain,30,0
2015,01/13/2015 03:00,5,3,Overcast,0.0027,43.95,43.95,rain,60,0
2015,01/13/2015 04:00,5,4,Overcast,0.0037,42.99,41.24,rain,60,0
2015,01/13/2015 05:00,5,5,Overcast,0.0042,41.49,39.97,rain,60,0
2015,01/13/2015 06:00,5,6,Overcast,0.0051,40.3,40.3,rain,60,0
2015,01/13/2015 07:00,5,7,Overcast,0.0064,39.78,39.78,rain,60,0
2015,01/13/2015 08:00,5,8,Overcast,0.0033,39.14,39.14,rain,60,0
2015,01/13/2015 09:00,5,9,Overcast,0.0002,38.79,38.79,rain,60,0
2015,01/13/2015 10:00,5,10,Overcast,0.0002,38.41,38.41,rain,60,0
2015,01/13/2015 11:00,5,11,Overcast,0.0006,37.99,37.99,rain,60,0
2015,01/13/2015 12:00,5,12,Overcast,0,37.81,37.81,none,60,0
2015,01/13/2015 13:00,5,13,Overcast,0.0004,37.86,37.86,rain,60,0
2015,01/13/2015 14:00,5,14,Overcast,0,37.74,37.74,none,60,0
2015,01/13/2015 15:00,5,15,Overcast,0.0005,37.61,37.61,rain,60,0
2015,01/13/2015 16:00,5,16,Overcast,0,37.28,37.28,none,60,0
2015,01/13/2015 17:00,5,17,Overcast,0,36.69,36.69,none,60,0
2015,01/13/2015 18:00,5,18,Overcast,0,36.26,36.26,none,60,0
2015,01/13/2015 19:00,5,19,Overcast,0,35.92,35.92,none,60,0
2015,01/13/2015 20:00,5,20,Overcast,0,35.19,35.19,none,60,0
2015,01/13/2015 21:00,5,21,Overcast,0,34.67,34.67,none,60,0
2015,01/13/2015 22:00,5,22,Overcast,0.0003,33.78,33.78,snow,60,0
2015,01/13/2015 23:00,5,23,Overcast,0.0002,32.79,32.79,rain,60,1
2015,01/14/2015 00:00,6,0,Overcast,0.0009,31.44,31.44,snow,60,0
2015,01/14/2015 01:00,6,1,Overcast,0.0022,30.44,30.44,snow,60,0
2015,01/14/2015 02:00,6,2,Overcast,0.0023,29.91,29.91,snow,60,0
2015,01/14/2015 03:00,6,3,Overcast,0.0002,29.4,29.4,snow,60,0
2015,01/14/2015 04:00,6,4,Overcast,0,29.01,29.01,none,60,0
2015,01/14/2015 05:00,6,5,Overcast,0,28.76,28.76,none,60,0
2015,01/14/2015 06:00,6,6,Overcast,0,28.37,28.37,none,60,0
2015,01/14/2015 07:00,6,7,Overcast,0,28.07,28.07,none,60,0
2015,01/14/2015 08:00,6,8,Overcast,0,28.05,28.05,none,60,0
2015,01/14/2015 09:00,6,9,Overcast,0,28.19,28.19,none,60,0
2015,01/14/2015 10:00,6,10,Overcast,0,29.02,29.02,none,60,0
2015,01/14/2015 11:00,6,11,Overcast,0,29.79,29.79,none,60,0
2015,01/14/2015 12:00,6,12,Overcast,0,30.47,30.47,none,60,0
2015,01/14/2015 13:00,6,13,Overcast,0.0002,31.16,31.16,snow,60,0
2015,01/14/2015 14:00,6,14,Overcast,0,31.82,31.82,none,60,0
2015,01/14/2015 15:00,6,15,Overcast,0.0007,32.36,32.36,snow,60,0
2015,01/14/2015 16:00,6,16,Overcast,0,32.68,32.68,none,60,0
2015,01/14/2015 17:00,6,17,Overcast,0,32.77,32.77,none,60,0
2015,01/14/2015 18:00,6,18,Overcast,0,32.66,32.66,none,60,0
2015,01/14/2015 19:00,6,19,Overcast,0,32.69,32.69,none,60,0
2015,01/14/2015 20:00,6,20,Overcast,0,32.72,32.72,none,60,0
2015,01/14/2015 21:00,6,21,Overcast,0,32.81,32.81,none,60,0
2015,01/14/2015 22:00,6,22,Overcast,0,32.84,32.84,none,60,0
2015,01/14/2015 23:00,6,23,Overcast,0,32.92,32.92,none,60,0
2015,01/15/2015 00:00,7,0,Overcast,0,33.02,33.02,none,60,0
2015,01/15/2015 01:00,7,1,Overcast,0,32.99,32.99,none,60,0
2015,01/15/2015 02:00,7,2,Overcast,0,32.96,32.96,none,60,0
2015,01/15/2015 03:00,7,3,Foggy,0,32.91,32.91,none,60,0
2015,01/15/2015 04:00,7,4,Foggy,0,32.6,32.6,none,60,0
2015,01/15/2015 05:00,7,5,Foggy,0,32.14,32.14,none,60,0
2015,01/15/2015 06:00,7,6,Foggy,0,31.93,31.93,none,60,0
2015,01/15/2015 07:00,7,7,Foggy,0,31.62,31.62,none,60,0
2015,01/15/2015 08:00,7,8,Foggy,0,31.35,31.35,none,60,0
2015,01/15/2015 09:00,7,9,Foggy,0,31.43,31.43,none,60,0
2015,01/15/2015 10:00,7,10,Overcast,0,32.23,32.23,none,60,0
2015,01/15/2015 11:00,7,11,Mostly Cloudy,0,33.85,33.85,none,60,0
2015,01/15/2015 12:00,7,12,Partly Cloudy,0,37.24,37.24,none,60,0
2015,01/15/2015 13:00,7,13,Mostly Cloudy,0,39.42,39.42,none,60,0
2015,01/15/2015 14:00,7,14,Clear,0,40.61,40.61,none,60,0
2015,01/15/2015 15:00,7,15,Clear,0,40.82,40.82,none,60,0
2015,01/15/2015 16:00,7,16,Partly Cloudy,0,40.54,40.54,none,60,1
2015,01/15/2015 17:00,7,17,Mostly Cloudy,0,39.66,39.66,none,60,0
2015,01/15/2015 18:00,7,18,Mostly Cloudy,0,38.78,38.78,none,60,0
2015,01/15/2015 19:00,7,19,Mostly Cloudy,0,38.21,38.21,none,60,0
2015,01/15/2015 20:00,7,20,Mostly Cloudy,0,37.73,37.73,none,60,0
2015,01/15/2015 21:00,7,21,Overcast,0,37.25,37.25,none,60,0
2015,01/15/2015 22:00,7,22,Overcast,0,37.16,37.16,none,30,0
2015,01/15/2015 23:00,7,23,Overcast,0,37.27,37.27,none,60,0
2015,01/16/2015 00:00,8,0,Overcast,0,37.22,37.22,none,60,0
2015,01/16/2015 01:00,8,1,Mostly Cloudy,0,36.87,36.87,none,60,1
2015,01/16/2015 02:00,8,2,Mostly Cloudy,0,36.68,36.68,none,15,0
2015,01/16/2015 03:00,8,3,Partly Cloudy,0,35.8,35.8,none,60,0
2015,01/16/2015 04:00,8,4,Partly Cloudy,0,34.25,34.25,none,60,0
2015,01/16/2015 05:00,8,5,Partly Cloudy,0,33.46,33.46,none,60,0
2015,01/16/2015 06:00,8,6,Clear,0,32.52,32.52,none,60,1
2015,01/16/2015 07:00,8,7,Clear,0,31.57,31.57,none,15,0
2015,01/16/2015 08:00,8,8,Clear,0,31.11,31.11,none,60,0
2015,01/16/2015 09:00,8,9,Clear,0,34.32,34.32,none,60,0
2015,01/16/2015 10:00,8,10,Clear,0,39.42,39.42,none,60,0
2015,01/16/2015 11:00,8,11,Clear,0,44.59,44.59,none,60,0
2015,01/16/2015 12:00,8,12,Clear,0,47.95,47.95,none,60,0
2015,01/16/2015 13:00,8,13,Clear,0,50.36,50.36,none,60,1
2015,01/16/2015 14:00,8,14,Clear,0,51.95,51.95,none,30,0
2015,01/16/2015 15:00,8,15,Clear,0,52.41,52.41,none,60,0
2015,01/16/2015 16:00,8,16,Clear,0,52.23,52.23,none,60,1
2015,01/16/2015 17:00,8,17,Clear,0,50.54,50.54,none,45,0
2015,01/16/2015 18:00,8,18,Clear,0,46.74,46.74,none,60,0
2015,01/16/2015 19:00,8,19,Clear,0,42.63,42.63,none,60,0
2015,01/16/2015 20:00,8,20,Clear,0,39.19,39.19,none,60,0
2015,01/16/2015 21:00,8,21,Clear,0,36.87,36.87,none,60,0
2015,01/16/2015 22:00,8,22,Clear,0,36.27,36.27,none,60,0
2015,01/16/2015 23:00,8,23,Clear,0,35.2,35.2,none,60,0
2015,01/17/2015 00:00,9,0,Clear,0,33.78,33.78,none,60,0
2015,01/17/2015 01:00,9,1,Clear,0,32.58,32.58,none,60,0
2015,01/17/2015 02:00,9,2,Clear,0,32.08,32.08,none,60,0
2015,01/17/2015 03:00,9,3,Clear,0,31.4,31.4,none,60,1
2015,01/17/2015 04:00,9,4,Clear,0,30.76,30.76,none,20,0
2015,01/17/2015 05:00,9,5,Clear,0,30,30,none,60,0
2015,01/17/2015 06:00,9,6,Clear,0,29.62,29.62,none,60,0
2015,01/17/2015 07:00,9,7,Clear,0,29.48,29.48,none,60,0
