Start,End,Message
1/12/2015 15:22,1/12/2015 16:30,Tent check! Grace until 4:30. 
1/12/2015 19:52,1/13/2015 1:00,Tent check! Grace until 1am for the college football championship. 
1/13/2015 01:30,1/13/2015 2:30,Tent check! Grace until 2:30. 
1/13/2015 19:00,1/14/2015 10:00,[MBB vs. Miami]; Grace until 10am thanks to chilly and icy conditions. 
1/15/2015 16:30,1/15/2015 22:30,[WBB vs. VT]; Tent check! Women's basketball takes on Virginia Tech at 6:30 - go to the game! Grace is given until 10:30PM due to the game.
1/16/2015 01:45,1/16/2015 2:45,Tent check! Grace until 2:45. 
1/16/2015 06:45,1/16/2015 7:45,Tent check! Grace until 7:45. 
1/16/2015 13:02,1/16/2015 14:30,Tent check! Grace until 2:30. 
1/16/2015 16:12,1/16/2015 17:15,Tent check! Grace until 5:15. 
1/17/2015 03:40,1/17/2015 4:40,Tent check! Grace until 4:40AM. 
1/17/2015 11:00,1/17/2015 15:00,[MBB @ Louisville]; Grace has been given without a check until 3PM for the game! 
1/17/2015 18:10,1/17/2015 21:00,Thanks to everyone who came out to welcome the team back! Grace until 9PM. Big-time game on Monday need a loud crowd!
1/18/2015 02:45,1/18/2015 3:45,Tent check! Grace until 3:45am. 
1/18/2015 04:00,1/18/2015 5:00,Tent check! Grace until 5am. 
1/18/2015 07:07,1/18/2015 8:30,"Tent check! Grace until 8:30AM. Remember that night hours now end at 7:00AM, so the rest of Black Tenting (now through 11PM) will all be day hours.  "
1/18/2015 11:00,1/18/2015 17:00,[WBB vs. Miami]; Grace until 5:00PM. Go watch women's basketball take on Miami at 1:00 in Cameron! Remember this is an attendance game for Black Tents. 
1/19/2015 00:15,1/19/2015 1:15,Tent check! Grace until 1:15. 
1/19/2015 17:00,1/19/2015 23:00,[MBB vs. Pitt]; Grace until 11:00PM for the game. Come watch the Blue Devils take on Pitt in Cameron!
1/19/2015 23:30,1/20/2015 0:30,Tent check! Grace until 12:30AM.
1/20/2015 15:00,1/20/2015 16:00,Tent check! Grace until 4:00PM. 
1/20/2015 22:30,1/20/2015 23:30,Tent check! Grace until 11:30pm. 
1/21/2015 00:30,1/21/2015 1:30,Tent Check! Grace until 1:30am.
1/21/2015 02:00,1/21/2015 3:00,Tent Check! Grace until 3 am.
1/22/2015 06:45,1/22/2015 7:45,Tent Check! Grace until 7:45.
1/22/2015 15:00,1/22/2015 16:00,Tent check! Grace until 4PM. 
1/22/2015 18:05,1/22/2015 22:00,[WBB @ BC]; No check for grace. Grace is from now until 10PM for the away WBB game!
1/23/2015 01:15,1/23/2015 2:15,Tent check! Grace until 2:15. 
1/23/2015 19:25,1/23/2015 20:30,Tent check! Grace until 8:30PM. 
1/24/2015 03:00,1/24/2015 4:00,Tent check! Grace until 4:00AM. 
1/24/2015 14:45,1/24/2015 16:00,Tent check! Grace until 4:00PM. 
1/25/2015 12:15,1/25/2015 20:00,[MBB @ St. Johns]; [WBB @ UNC]; Tent check! Grace until 8pm for the Men's and Women's away games. Go Duke and GTHC!
1/27/2015 00:12,1/27/2015 1:15,Tent check! Grace until 1:15am. 
1/27/2015 15:00,1/27/2015 16:00,Tent check! Grace until 4PM. 
1/27/2015 23:45,1/28/2015 0:45,Tent Check! Grace until 12:45.
1/28/2015 09:29,1/28/2015 10:30,Tent check! Grace until 10:30.
1/28/2015 18:30,1/28/2015 23:00,[MBB @ ND]; Tent check! Grace until 11pm. Watch the Notre Dame game! 
1/29/2015 01:35,1/29/2015 9:30,Tent Check! Grace until 9:00 am. Stay warm!
